Well well
polyphenylalanine polyphenylalanine
, ,
polyphenylalanine polyphenylalanine
. .
So so
that that
' '
s s
the the
first first
cracking cracking
of of
the the
genetic genetic
code code
, ,
and and
it it
was be
all all
over over
by by
1966 @card@
. .
So so
there there
, ,
that that
' '
s s
what what
Chris chris
wanted want
me me
to to
do do
, ,
it it
was be
â â
so so
what what
happened happen
since since
then then
? ?
Well well
, ,
at at
that that
time time
â â
I i
should should
go go
back back
. .
When when
we we
found find
the the
structure structure
of of
DNA dna
, ,
I i
gave give
my my
first first
talk talk
at at
Cold cold
Spring spring
Harbor harbor
. .
The the
physicist physicist
, ,
Leo leo
Szilard szilard
, ,
he he
looked look
at at
me me
and and
said say
, ,
" "
Are be
you you
going go
to to
patent patent
this this
? ?
" "
And and
â â
but but
he he
knew know
patent patent
law law
, ,
and and
that that
we we
couldn couldn
' '
t t
patent patent
it it
, ,
because because
you you
couldn couldn
' '
t t
. .
No no
use use
for for
it it
. .
And and
so so
DNA dna
didn didn
' '
t t
become become
a a
useful useful
molecule molecule
, ,
and and
the the
lawyers lawyer
didn didn
' '
t t
enter enter
into into
the the
equation equation
until until
1973 @card@
, ,
20 @card@
years year
later later
, ,
when when
Boyer boyer
and and
Cohen cohen
in in
San san
Francisco francisco
and and
Stanford stanford
came come
up up
with with
their their
method method
of of
recombinant recombinant
DNA dna
, ,
and and
Stanford stanford
patented patent
it it
and and
made make
a a
lot lot
of of
money money
. .
At at
least least
they they
patented patent
something something
which which
, ,
you you
know know
, ,
could could
do do
useful useful
things thing
. .
And and
then then
, ,
they they
learned learn
how how
to to
read read
the the
letters letter
for for
the the
code code
. .
And and
, ,
boom boom
, ,
we we
' '
ve ve
, ,
you you
know know
, ,
had have
a a
biotech biotech
industry industry
. .
And and
, ,
but but
we we
were be
still still
a a
long long
ways way
from from
, ,
you you
know know
, ,
answering answer
a a
question question
which which
sort sort
of of
dominated dominate
my my
childhood childhood
, ,
which which
is be
: :
How how
do do
you you
nature-nurture nature-nurture
? ?
And and
so so
I i
' '
ll ll
go go
on on
. .
I i
' '
m m
already already
out out
of of
time time
, ,
but but
this this
is be
Michael michael
Wigler wigler
, ,
a a
very very
, ,
very very
clever clever
mathematician mathematician
turned turn
physicist physicist
. .
And and
he he
developed develop
a a
technique technique
which which
essentially essentially
will will
let let
us us
look look
at at
sample sample
DNA dna
and and
, ,
eventually eventually
, ,
a a
million million
spots spot
along along
it it
. .
There there
' '
s s
a a
chip chip
there there
, ,
a a
conventional conventional
one one
. .
Then then
there there
' '
s s
one one
made make
by by
a a
photolithography photolithography
by by
a a
company company
in in
Madison madison
called call
NimbleGen nimblegen
, ,
which which
is be
way way
ahead ahead
of of
Affymetrix affymetrix
. .
And and
we we
use use
their their
technique technique
. .
And and
what what
you you
can can
do do
is be
sort sort
of of
compare compare
DNA dna
of of
normal normal
segs segs
versus versus
cancer cancer
. .
And and
you you
can can
see see
on on
the the
top top
that that
cancers cancer
which which
are be
bad bad
show show
insertions insertion
or or
deletions deletion
. .
So so
the the
DNA dna
is be
really really
badly badly
mucked muck
up up
, ,
whereas whereas
if if
you you
have have
a a
chance chance
of of
surviving survive
, ,
the the
DNA dna
isn isn
' '
t t
so so
mucked muck
up up
. .
So so
we we
think think
that that
this this
will will
eventually eventually
lead lead
to to
what what
we we
call call
" "
DNA dna
biopsies biopsy
. .
" "
Before before
you you
get get
treated treat
for for
cancer cancer
, ,
you you
should should
really really
look look
at at
this this
technique technique
, ,
and and
get get
a a
feeling feeling
of of
the the
face face
of of
the the
enemy enemy
. .
It it
' '
s s
not not
a a
â â
it it
' '
s s
only only
a a
partial partial
look look
, ,
but but
it it
' '
s s
a a
â â
I i
think think
it it
' '
s s
going go
to to
be be
very very
, ,
very very
useful useful
. .
So so
, ,
we we
started start
with with
breast breast
cancer cancer
because because
there there
' '
s s
lots lot
of of
money money
for for
it it
, ,
no no
government government
money money
. .
And and
now now
I i
have have
a a
sort sort
of of
vested vested
interest interest
: :
I i
want want
to to
do do
it it
for for
prostate prostate
cancer cancer
. .
So so
, ,
you you
know know
, ,
you you
aren aren
' '
t t
treated treat
if if
it it
' '
s s
not not
dangerous dangerous
. .
But but
Wigler wigler
, ,
besides besides
looking look
at at
cancer cancer
cells cell
, ,
looked look
at at
normal normal
cells cell
, ,
and and
made make
a a
really really
sort sort
of of
surprising surprising
observation observation
. .
Which which
is be
, ,
all all
of of
us us
have have
about about
10 @card@
places place
in in
our our
genome genome
where where
we we
' '
ve ve
lost lose
a a
gene gene
or or
gained gain
another another
one one
. .
So so
we we
' '
re re
sort sort
of of
all all
imperfect imperfect
. .
And and
the the
question question
is be
well well
, ,
if if
we we
' '
re re
around around
here here
, ,
you you
know know
, ,
these these
little little
losses loss
or or
gains gain
might might
not not
be be
too too
bad bad
. .
But but
if if
these these
deletions deletion
or or
amplifications amplification
occurred occur
in in
the the
wrong wrong
gene gene
, ,
maybe maybe
we we
' '
ll ll
feel feel
sick sick
. .
So so
the the
first first
disease disease
he he
looked look
at at
is be
autism autism
. .
And and
the the
reason reason
we we
looked look
at at
autism autism
is be
we we
had have
the the
money money
to to
do do
it it
. .
Looking look
at at
an an
individual individual
is be
about about
3 @card@
, ,
000 @card@
dollars dollar
. .
And and
the the
parent parent
of of
a a
child child
with with
Asperger asperger
' '
s s
disease disease
, ,
the the
high-intelligence high-intelligence
autism autism
, ,
had have
sent send
his his
thing thing
to to
a a
conventional conventional
company company
; ;
they they
didn didn
' '
t t
do do
it it
. .
Couldn couldn
' '
t t
do do
it it
by by
conventional conventional
genetics genetics
, ,
but but
just just
scanning scan
it it
we we
began begin
to to
find find
genes gene
for for
autism autism
. .
And and
you you
can can
see see
here here
, ,
there there
are be
a a
lot lot
of of
them them
. .
So so
a a
lot lot
of of
autistic autistic
kids kid
are be
autistic autistic
because because
they they
just just
lost lose
a a
big big
piece piece
of of
DNA dna
. .
I i
mean mean
, ,
big big
piece piece
at at
the the
molecular molecular
level level
. .
We we
saw see
one one
autistic autistic
kid kid
, ,
about about
five five
million million
bases base
just just
missing miss
from from
one one
of of
his his
chromosomes chromosome
. .
We we
haven haven
' '
t t
yet yet
looked look
at at
the the
parents parent
, ,
but but
the the
parents parent
probably probably
don don
' '
t t
have have
that that
loss loss
, ,
or or
they they
wouldn wouldn
' '
t t
be be
parents parent
. .
Now now
, ,
so so
, ,
our our
autism autism
study study
is be
just just
beginning begin
. .
We we
got get
three three
million million
dollars dollar
. .
I i
think think
it it
will will
cost cost
at at
least least
10 @card@
to to
20 @card@
before before
you you
' '
d d
be be
in in
a a
position position
to to
help help
parents parent
who who
' '
ve ve
had have
an an
autistic autistic
child child
, ,
or or
think think
they they
may may
have have
an an
autistic autistic
child child
, ,
and and
can can
we we
spot spot
the the
difference difference
? ?
So so
this this
same same
technique technique
should should
probably probably
look look
at at
all all
. .
It it
' '
s s
a a
wonderful wonderful
way way
to to
find find
genes gene
. .
And and
so so
, ,
I i
' '
ll ll
conclude conclude
by by
saying say
we we
' '
ve ve
looked look
at at
20 @card@
people people
with with
schizophrenia schizophrenia
. .
And and
we we
thought think
we we
' '
d d
probably probably
have have
to to
look look
at at
several several
hundred hundred
before before
we we
got get
the the
picture picture
. .
But but
as as
you you
can can
see see
, ,
there there
' '
s s
seven seven
out out
of of
20 @card@
had have
a a
change change
which which
was be
very very
high high
. .
And and
yet yet
, ,
in in
the the
controls control
there there
were be
three three
. .
So so
what what
' '
s s
the the
meaning meaning
of of
the the
controls control
? ?
Were be
they they
crazy crazy
also also
, ,
and and
we we
didn didn
' '
t t
know know
it it
? ?
Or or
, ,
you you
know know
, ,
were be
they they
normal normal
? ?
I i
would would
guess guess
they they
' '
re re
normal normal
. .
And and
what what
we we
think think
in in
schizophrenia schizophrenia
is be
there there
are be
genes gene
of of
predisposure predisposure
, ,
and and
whether whether
this this
is be
one one
that that
predisposes predispose
