Chris chris
' '
m m
talking talk
about about
. .
And and
you you
know know
, ,
I i
' '
ll ll
go go
on on
fighting fight
, ,
I i
care care
about about
, ,
I i
' '
m m
passionate passionate
about about
the the
wildlife wildlife
. .
I i
' '
m m
passionate passionate
about about
the the
natural natural
world world
. .
I i
love love
forests forest
, ,
it it
hurts hurt
me me
to to
see see
them them
damaged damage
. .
And and
I i
care care
passionately passionately
about about
children child
. .
And and
we we
' '
re re
stealing steal
their their
future future
. .
And and
I i
' '
m m
not not
going go
to to
give give
up up
. .
So so
I i
guess guess
I i
' '
m m
blessed bless
with with
good good
genes gene
, ,
that that
' '
s s
a a
gift gift
, ,
and and
the the
other other
gift gift
, ,
which which
I i
discovered discover
I i
had have
, ,
was be
communication communication
, ,
whether whether
it it
' '
s s
writing write
or or
speaking speak
. .
And and
so so
, ,
you you
know know
, ,
if if
going go
around around
like like
this this
wasn wasn
' '
t t
working working
, ,
but but
every every
time time
I i
do do
a a
lecture lecture
, ,
people people
come come
up up
and and
say say
, ,
" "
Well well
, ,
I i
had have
given give
up up
, ,
but but
you you
' '
ve ve
inspired inspire
me me
, ,
I i
promise promise
to to
do do
my my
bit bit
. .
" "
And and
we we
have have
our our
youth youth
program program
" "
Roots roots
and and
Shoots shoot
" "
now now
in in
65 @card@
countries country
and and
growing grow
fast fast
, ,
all all
ages age
, ,
all all
choosing choose
projects project
to to
help help
people people
, ,
animals animal
, ,
the the
environment environment
, ,
rolling roll
up up
their their
sleeves sleeve
and and
taking take
action action
. .
And and
you you
know know
, ,
they they
look look
at at
you you
with with
shining shine
eyes eye
, ,
wanting want
to to
tell tell
Dr dr
. .
Jane jane
what what
they they
' '
ve ve
been be
doing do
to to
make make
the the
world world
a a
better good
place place
. .
How how
can can
I i
let let
them them
down down
? ?
CA ca
: :
I i
mean mean
, ,
as as
you you
look look
at at
the the
planet planet
' '
s s
future future
, ,
what what
worries worry
you you
most most
, ,
actually actually
, ,
what what
scares scare
you you
most most
about about
where where
we we
' '
re re
at at
? ?
JG jg
: :
Well well
, ,
the the
fact fact
that that
we we
have have
a a
small small
window window
of of
time time
, ,
I i
believe believe
, ,
when when
we we
can can
at at
least least
start start
healing heal
some some
of of
the the
harm harm
and and
slowing slow
down down
climate climate
change change
. .
But but
it it
is be
closing close
, ,
and and
we we
' '
ve ve
seen see
what what
happens happen
with with
the the
lockdown lockdown
around around
the the
world world
because because
of of
COVID-19 covid-19
: :
clear clear
skies sky
over over
cities city
, ,
some some
people people
breathing breathe
clean clean
air air
that that
they they
' '
ve ve
never never
breathed breathe
before before
and and
looking look
up up
at at
the the
shining shine
skies sky
at at
night night
, ,
which which
they they
' '
ve ve
never never
seen see
properly properly
before before
. .
And and
you you
know know
, ,
so so
what what
worries worry
me me
most most
is be
how how
to to
get get
enough enough
people people
, ,
people people
understand understand
, ,
but but
they they
' '
re re
not not
taking take
action action
, ,
how how
to to
get get
enough enough
people people
to to
take take
action action
? ?
CA ca
: :
National national
Geographic geographic
just just
launched launch
this this
extraordinary extraordinary
film film
about about
you you
, ,
highlighting highlight
your your
work work
over over
six six
decades decade
. .
It it
' '
s s
titled title
" "
Jane jane
Goodall goodall
: :
The the
Hope hope
. .
" "
So so
what what
is be
the the
hope hope
, ,
Jane jane
? ?
JG jg
: :
Well well
, ,
the the
hope hope
, ,
my my
greatest great
hope hope
is be
all all
these these
young young
people people
. .
I i
mean mean
, ,
in in
China china
, ,
people people
will will
come come
up up
and and
say say
, ,
" "
Well well
, ,
of of
course course
I i
care care
about about
the the
environment environment
, ,
I i
was be
in in
' '
Roots roots
and and
Shoots shoot
' '
in in
primary primary
school school
. .
" "
And and
you you
know know
, ,
we we
have have
" "
Roots roots
and and
Shoots shoot
" "
just just
hanging hang
on on
to to
the the
values value
and and
they they
' '
re re
so so
enthusiastic enthusiastic
once once
they they
know know
the the
problems problem
and and
they they
' '
re re
empowered empower
to to
take take
action action
, ,
they they
are be
clearing clear
the the
streams stream
, ,
removing remove
invasive invasive
species specie
humanely humanely
. .
And and
they they
have have
so so
many many
ideas idea
. .
And and
then then
there there
' '
s s
, ,
you you
know know
, ,
this this
extraordinary extraordinary
intellect intellect
of of
ours ours
. .
We we
' '
re re
beginning beginning
to to
use use
it it
to to
come come
up up
with with
technology technology
that that
really really
will will
help help
us us
to to
live live
in in
greater great
harmony harmony
, ,
and and
in in
our our
individual individual
lives life
, ,
let let
' '
s s
think think
about about
the the
consequences consequence
of of
what what
we we
do do
each each
day day
. .
What what
do do
we we
buy buy
, ,
where where
did do
it it
come come
from from
, ,
how how
was be
it it
made make
? ?
Did do
it it
harm harm
the the
environment environment
, ,
was be
it it
cruel cruel
to to
animals animal
? ?
Is be
it it
cheap cheap
because because
of of
child child
slave slave
labor labor
? ?
Make make
ethical ethical
choices choice
. .
Which which
you you
can can
' '
t t
do do
if if
you you
' '
re re
living living
in in
poverty poverty
, ,
by by
the the
way way
. .
And and
then then
finally finally
, ,
this this
indomitable indomitable
spirit spirit
of of
people people
who who
tackle tackle
what what
seems seem
impossible impossible
and and
won won
' '
t t
give give
up up
. .
You you
can can
' '
t t
give give
up up
when when
you you
have have
those those
. .
. .
. .
But but
you you
know know
, ,
there there
are be
things thing
that that
I i
can can
' '
t t
fight fight
. .
I i
can can
' '
t t
fight fight
corruption corruption
. .
I i
can can
' '
t t
fight fight
military military
regimes regime
and and
dictators dictator
. .
So so
I i
can can
only only
do do
what what
I i
can can
do do
, ,
and and
if if
we we
all all
do do
the the
bits bit
that that
we we
can can
do do
, ,
surely surely
that that
makes make
a a
whole whole
that that
eventually eventually
will will
win win
out out
. .
CA ca
: :
So so
, ,
last last
question question
, ,
Jane jane
. .
If if
there there
was be
one one
idea idea
, ,
one one
thought think
, ,
one one
seed seed
you you
could could
plant plant
in in
the the
minds mind
of of
everyone everyone
watching watch
this this
, ,
what what
would would
that that
be be
? ?
JG jg
: :
You you
know know
, ,
just just
remember remember
that that
every every
day day
you you
live live
, ,
you you
make make
an an
impact impact
on on
the the
planet planet
. .
You you
can can
' '
t t
help help
making make
an an
impact impact
. .
And and
at at
least least
, ,
unless unless
you you
' '
re re
living living
in in
extreme extreme
poverty poverty
, ,
you you
have have
a a
choice choice
as as
to to
what what
sort sort
of of
impact impact
you you
make make
. .
Even even
in in
poverty poverty
you you
have have
a a
choice choice
, ,
but but
when when
we we
are be
more more
affluent affluent
, ,
we we
have have
a a
greater great
choice choice
. .
And and
if if
we we
all all
make make
ethical ethical
choices choice
, ,
then then
we we
start start
moving move
towards towards
a a
world world
that that
will will
be be
not not
quite quite
so so
desperate desperate
to to
leave leave
to to
our our
great-grandchildren great-grandchild
. .
That that
' '
s s
, ,
I i
think think
, ,
something something
for for
everybody everybody
. .
Because because
a a
lot lot
of of
people people
understand understand
what what
' '
s s
happening happening
, ,
but but
they they
feel feel
helpless helpless
and and
hopeless hopeless
, ,
and and
what what
can can
they they
do do
, ,
so so
they they
do do
nothing nothing
and and
they they
become become
apathetic apathetic
. .
And and
that that
is be
a a
huge huge
danger danger
, ,
apathy apathy
. .
CA ca
: :
Dr dr
. .
Jane jane
Goodall goodall
, ,
wow wow
. .
I i
really really
want want
to to
thank thank
you you
for for
your your
extraordinary extraordinary
life life
, ,
for for
all all
that that
you you
' '
ve ve
done do
and and
for for
spending spend
this this
time time
with with
us us
now now
. .
Thank thank
you you
. .
JG jg
: :
Thank thank
you you
. .
