There	EX	there
increasingly	RB	increasingly
,	,	,
I	PP	I
share	VBP	share
a	DT	a
destiny	NN	destiny
with	IN	with
my	PP$	my
enemy	NN	enemy
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
diplomat	NN	diplomat
negotiating	VBG	negotiate
the	DT	the
disarmament	NN	disarmament
treaties	NNS	treaty
with	IN	with
the	DT	the
Soviet	NP	Soviet
Union	NP	Union
in	IN	in
Geneva	NP	Geneva
in	IN	in
the	DT	the
1970s	NNS	1970s
,	,	,
we	PP	we
succeeded	VBD	succeed
because	IN	because
we	PP	we
understood	VBD	understand
we	PP	we
shared	VBD	share
a	DT	a
destiny	NN	destiny
with	IN	with
them	PP	them
.	SENT	.
Collective	JJ	collective
security	NN	security
is	VBZ	be
not	RB	not
enough	JJ	enough
.	SENT	.
Peace	NN	peace
has	VBZ	have
come	VBN	come
to	TO	to
Northern	NP	Northern
Ireland	NP	Ireland
because	IN	because
both	DT	both
sides	NNS	side
realized	VBD	realize
that	IN	that
the	DT	the
zero-sum	NN	zero-sum
game	NN	game
couldn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
They	PP	they
shared	VBD	share
a	DT	a
destiny	NN	destiny
with	IN	with
their	PP$	their
enemies	NNS	enemy
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
great	JJ	great
barriers	NNS	barrier
to	TO	to
peace	NN	peace
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
is	VBZ	be
that	IN	that
both	DT	both
sides	NNS	side
,	,	,
both	CC	both
Israel	NP	Israel
and	CC	and
,	,	,
I	PP	I
think	VBP	think
,	,	,
the	DT	the
Palestinians	NPS	Palestinians
,	,	,
do	VBP	do
not	RB	not
understand	VB	understand
that	IN	that
they	PP	they
share	VBP	share
a	DT	a
collective	JJ	collective
destiny	NN	destiny
.	SENT	.
And	CC	and
so	RB	so
suddenly	RB	suddenly
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
what	WP	what
has	VBZ	have
been	VBN	be
the	DT	the
proposition	NN	proposition
of	IN	of
visionaries	NNS	visionary
and	CC	and
poets	NNS	poet
down	IN	down
the	DT	the
ages	NNS	age
becomes	VBZ	become
something	NN	something
we	PP	we
have	VBP	have
to	TO	to
take	VB	take
seriously	RB	seriously
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
public	JJ	public
policy	NN	policy
.	SENT	.
I	PP	I
started	VBD	start
with	IN	with
a	DT	a
poem	NN	poem
,	,	,
I	PP	I
'	POS	'
ll	JJ	<unknown>
end	NN	end
with	IN	with
one	CD	one
.	SENT	.
The	DT	the
great	JJ	great
poem	NN	poem
of	IN	of
John	NP	John
Donne	NP	Donne
'	POS	'
s	NN	S
.	SENT	.
"	``	"
Send	VB	send
not	RB	not
for	IN	for
whom	WP	whom
the	DT	the
bell	NN	bell
tolls	NNS	toll
.	SENT	.
"	''	"
The	DT	the
poem	NN	poem
is	VBZ	be
called	VBN	call
"	``	"
No	DT	no
Man	NN	man
is	VBZ	be
an	DT	an
Island	NP	Island
.	SENT	.
"	``	"
And	CC	and
it	PP	it
goes	VBZ	go
:	:	:
"	``	"
Every	DT	every
man	NN	man
'	POS	'
s	NN	S
death	NN	death
affected	VBD	affect
me	PP	me
,	,	,
for	IN	for
I	PP	I
am	VBP	be
involved	VBN	involve
in	IN	in
mankind	NN	mankind
,	,	,
send	VB	send
not	RB	not
to	TO	to
ask	VB	ask
for	IN	for
whom	WP	whom
the	DT	the
bell	NN	bell
tolls	NNS	toll
,	,	,
it	PP	it
tolls	VBZ	toll
for	IN	for
thee	PP	thee
.	SENT	.
"	''	"
For	IN	for
John	NP	John
Donne	NP	Donne
,	,	,
a	DT	a
recommendation	NN	recommendation
of	IN	of
morality	NN	morality
.	SENT	.
For	IN	for
us	PP	us
,	,	,
I	PP	I
think	VBP	think
,	,	,
part	NN	part
of	IN	of
the	DT	the
equation	NN	equation
for	IN	for
our	PP$	our
survival	NN	survival
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
