There	EX	there
without	IN	without
constraint	NN	constraint
,	,	,
but	CC	but
the	DT	the
lesson	NN	lesson
of	IN	of
history	NN	history
is	VBZ	be
that	IN	that
,	,	,
sooner	RBR	sooner
or	CC	or
later	RBR	later
,	,	,
unregulated	JJ	unregulated
space	NN	space
—	:	-
space	NN	space
not	RB	not
subject	JJ	subject
to	TO	to
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
—	:	-
becomes	VBZ	become
populated	VBN	populate
,	,	,
not	RB	not
just	RB	just
by	IN	by
the	DT	the
things	NNS	thing
you	PP	you
wanted	VBD	want
—	:	-
international	JJ	international
trade	NN	trade
,	,	,
the	DT	the
Internet	NN	Internet
,	,	,
etc	FW	etc
.	SENT	.
—	:	-
but	CC	but
also	RB	also
by	IN	by
the	DT	the
things	NNS	thing
you	PP	you
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
—	:	-
international	JJ	international
criminality	NN	criminality
,	,	,
international	JJ	international
terrorism	NN	terrorism
.	SENT	.
The	DT	the
revelation	NN	revelation
of	IN	of
9	CD	@card@
/	SYM	/
11	CD	@card@
is	VBZ	be
that	IN	that
even	RB	even
if	IN	if
you	PP	you
are	VBP	be
the	DT	the
most	RBS	most
powerful	JJ	powerful
nation	NN	nation
on	IN	on
earth	NN	earth
,	,	,
nevertheless	RB	nevertheless
,	,	,
those	DT	those
who	WP	who
inhabit	VBP	inhabit
that	IN	that
space	NN	space
can	MD	can
attack	VB	attack
you	PP	you
even	RB	even
in	IN	in
your	PP$	your
most	RBS	most
iconic	JJ	iconic
of	IN	of
cities	NNS	city
one	CD	one
bright	JJ	bright
September	NP	September
morning	NN	morning
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
said	VBD	say
that	DT	that
something	NN	something
like	IN	like
60	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
four	CD	four
million	CD	million
dollars	NNS	dollar
that	WDT	that
was	VBD	be
taken	VBN	take
to	TO	to
fund	VB	fund
9	CD	@card@
/	SYM	/
11	CD	@card@
actually	RB	actually
passed	VBN	pass
through	IN	through
the	DT	the
institutions	NNS	institution
of	IN	of
the	DT	the
Twin	NP	Twin
Towers	NP	Towers
which	WDT	which
9	CD	@card@
/	SYM	/
11	CD	@card@
destroyed	VBN	destroy
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
our	PP$	our
enemies	NNS	enemy
also	RB	also
use	VBP	use
this	DT	this
space	NN	space
—	:	-
the	DT	the
space	NN	space
of	IN	of
mass	JJ	mass
travel	NN	travel
,	,	,
the	DT	the
Internet	NN	Internet
,	,	,
satellite	NN	satellite
broadcasters	NNS	broadcaster
—	:	-
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VB	get
around	RP	around
their	PP$	their
poison	NN	poison
,	,	,
which	WDT	which
is	VBZ	be
about	RB	about
destroying	VBG	destroy
our	PP$	our
systems	NNS	system
and	CC	and
our	PP$	our
ways	NNS	way
.	SENT	.
Sooner	RBR	sooner
or	CC	or
later	RBR	later
,	,	,
sooner	RBR	sooner
or	CC	or
later	RBR	later
,	,	,
the	DT	the
rule	NN	rule
of	IN	of
history	NN	history
is	VBZ	be
that	IN	that
where	WRB	where
power	NN	power
goes	VBZ	go
governance	NN	governance
must	MD	must
follow	VB	follow
.	SENT	.
And	CC	and
if	IN	if
it	PP	it
is	VBZ	be
therefore	RB	therefore
the	DT	the
case	NN	case
,	,	,
as	IN	as
I	PP	I
believe	VBP	believe
it	PP	it
is	VBZ	be
,	,	,
that	IN	that
one	CD	one
of	IN	of
the	DT	the
phenomenon	NN	phenomenon
of	IN	of
our	PP$	our
time	NN	time
is	VBZ	be
the	DT	the
globalization	NN	globalization
of	IN	of
power	NN	power
,	,	,
then	RB	then
it	PP	it
follows	VBZ	follow
that	IN	that
one	CD	one
of	IN	of
the	DT	the
challenges	NNS	challenge
of	IN	of
our	PP$	our
time	NN	time
is	VBZ	be
to	TO	to
bring	VB	bring
governance	NN	governance
to	TO	to
the	DT	the
global	JJ	global
space	NN	space
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
that	IN	that
the	DT	the
decades	NNS	decade
ahead	RB	ahead
of	IN	of
us	PP	us
now	RB	now
will	MD	will
be	VB	be
to	TO	to
a	DT	a
greater	JJR	great
or	CC	or
lesser	JJR	lesser
extent	NN	extent
turbulent	JJ	turbulent
the	DT	the
more	JJR	more
or	CC	or
less	RBR	less
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
achieve	VB	achieve
that	DT	that
aim	NN	aim
:	:	:
to	TO	to
bring	VB	bring
governance	NN	governance
to	TO	to
the	DT	the
global	JJ	global
space	NN	space
.	SENT	.
Now	RB	now
notice	NN	notice
,	,	,
I	PP	I
'	POS	'
m	NN	m
