Today	NP	Today
emotions	NNS	emotion
that	IN	that
I	PP	I
felt	VBD	feel
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
power	NN	power
of	IN	of
architecture	NN	architecture
,	,	,
because	IN	because
architecture	NN	architecture
is	VBZ	be
not	RB	not
about	IN	about
math	NN	math
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
zoning	NN	zoning
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
those	DT	those
visceral	JJ	visceral
,	,	,
emotional	JJ	emotional
connections	NNS	connection
that	IN	that
we	PP	we
feel	VBP	feel
to	TO	to
the	DT	the
places	NNS	place
that	WDT	that
we	PP	we
occupy	VBP	occupy
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
no	DT	no
surprise	NN	surprise
that	IN	that
we	PP	we
feel	VBP	feel
that	DT	that
way	NN	way
,	,	,
because	IN	because
according	VBG	accord
to	TO	to
the	DT	the
EPA	NP	EPA
,	,	,
Americans	NPS	Americans
spend	VBP	spend
90	CD	@card@
percent	NN	percent
of	IN	of
their	PP$	their
time	NN	time
indoors	RB	indoors
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
90	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
time	NN	time
surrounded	VBN	surround
by	IN	by
architecture	NN	architecture
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
huge	JJ	huge
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
architecture	NN	architecture
is	VBZ	be
shaping	VBG	shape
us	PP	us
in	IN	in
ways	NNS	way
that	IN	that
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
even	RB	even
realize	VB	realize
.	SENT	.
That	DT	that
makes	VBZ	make
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
gullible	JJ	gullible
and	CC	and
very	RB	very
,	,	,
very	RB	very
predictable	JJ	predictable
.	SENT	.
It	PP	it
means	VBZ	mean
that	IN	that
when	WRB	when
I	PP	I
show	VBP	show
you	PP	you
a	DT	a
building	NN	building
like	IN	like
this	DT	this
,	,	,
I	PP	I
know	VBP	know
what	WP	what
you	PP	you
think	VBP	think
:	:	:
You	PP	you
think	VBP	think
"	``	"
power	NN	power
"	''	"
and	CC	and
"	``	"
stability	NN	stability
"	''	"
and	CC	and
"	``	"
democracy	NN	democracy
.	SENT	.
"	``	"
And	CC	and
I	PP	I
know	VBP	know
you	PP	you
think	VBP	think
that	IN	that
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
based	VBN	base
on	IN	on
a	DT	a
building	NN	building
that	WDT	that
was	VBD	be
build	VBN	build
2	CD	@card@
,	,	,
500	CD	@card@
years	NNS	year
ago	RB	ago
by	IN	by
the	DT	the
Greeks	NPS	Greeks
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
trick	NN	trick
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
trigger	NN	trigger
that	IN	that
architects	NNS	architect
use	VBP	use
to	TO	to
get	VB	get
you	PP	you
to	TO	to
create	VB	create
an	DT	an
emotional	JJ	emotional
connection	NN	connection
to	TO	to
the	DT	the
forms	NNS	form
that	IN	that
we	PP	we
build	VB	build
our	PP$	our
buildings	NNS	building
out	RP	out
of	IN	of
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
predictable	JJ	predictable
emotional	JJ	emotional
connection	NN	connection
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
using	VBG	use
this	DT	this
trick	NN	trick
for	IN	for
a	DT	a
long	JJ	long
,	,	,
long	JJ	long
time	NN	time
.	SENT	.
We	PP	we
used	VBD	use
it	PP	it
[	SYM	[
200	CD	@card@
]	SYM	]
years	NNS	year
ago	RB	ago
to	TO	to
build	VB	build
banks	NNS	bank
.	SENT	.
We	PP	we
used	VBD	use
it	PP	it
in	IN	in
the	DT	the
19th	JJ	19th
century	NN	century
to	TO	to
build	VB	build
art	NN	art
museums	NNS	museum
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
20th	JJ	20th
century	NN	century
in	IN	in
America	NP	America
,	,	,
we	PP	we
used	VBD	use
it	PP	it
to	TO	to
build	VB	build
houses	NNS	house
.	SENT	.
And	CC	and
look	VB	look
at	IN	at
these	DT	these
solid	JJ	solid
,	,	,
stable	JJ	stable
little	JJ	little
soldiers	NNS	soldier
facing	VBG	face
the	DT	the
ocean	NN	ocean
and	CC	and
keeping	VBG	keep
away	RP	away
the	DT	the
elements	NNS	element
.	SENT	.
This	DT	this
is	VBZ	be
really	RB	really
,	,	,
really	RB	really
useful	JJ	useful
,	,	,
because	IN	because
building	NN	building
things	NNS	thing
is	VBZ	be
terrifying	JJ	terrifying
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
expensive	JJ	expensive
,	,	,
it	PP	it
takes	VBZ	take
a	DT	a
long	JJ	long
time	NN	time
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
complicated	VBN	complicate
.	SENT	.
And	CC	and
the	DT	the
people	NNS	people
that	WDT	that
build	VBP	build
things	NNS	thing
—	:	-
developers	NNS	developer
and	CC	and
governments	NNS	government
—	:	-
they	PP	they
'	POS	'
re	NN	re
naturally	RB	naturally
afraid	JJ	afraid
of	IN	of
innovation	NN	innovation
,	,	,
and	CC	and
they	PP	they
'	POS	'
d	NN	d
rather	RB	rather
just	RB	just
use	VB	use
those	DT	those
forms	NNS	form
that	WDT	that
they	PP	they
know	VBP	know
you	PP	you
'	''	'
ll	NNS	<unknown>
respond	VBP	respond
to	TO	to
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
end	VBP	end
up	RP	up
with	IN	with
buildings	NNS	building
like	IN	like
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
nice	JJ	nice
building	NN	building
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
Livingston	NP	Livingston
Public	NP	Public
Library	NP	Library
that	WDT	that
was	VBD	be
completed	VBN	complete
in	IN	in
2004	CD	@card@
in	IN	in
my	PP$	my
hometown	NN	hometown
,	,	,
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
dome	NN	dome
and	CC	and
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
this	DT	this
round	NN	round
thing	NN	thing
and	CC	and
columns	NNS	column
,	,	,
red	JJ	red
brick	NN	brick
,	,	,
and	CC	and
you	PP	you
can	MD	can
kind	RB	kind
of	IN	of
guess	VB	guess
what	WP	what
Livingston	NP	Livingston
is	VBZ	be
trying	VBG	try
to	TO	to
say	VB	say
with	IN	with
this	DT	this
building	NN	building
:	:	:
children	NNS	child
,	,	,
property	NN	property
values	NNS	value
and	CC	and
history	NN	history
.	SENT	.
But	CC	but
it	PP	it
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
much	RB	much
to	TO	to
do	VB	do
with	IN	with
what	WP	what
a	DT	a
library	NN	library
actually	RB	actually
does	VBZ	do
today	NN	today
.	SENT	.
That	DT	that
same	JJ	same
year	NN	year
,	,	,
in	IN	in
2004	CD	@card@
,	,	,
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
country	NN	country
,	,	,
another	DT	another
library	NN	library
was	VBD	be
completed	VBN	complete
,	,	,
and	CC	and
it	PP	it
looks	VBZ	look
like	IN	like
this	DT	this
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
in	IN	in
Seattle	NP	Seattle
.	SENT	.
This	DT	this
library	NN	library
is	VBZ	be
about	RB	about
how	WRB	how
we	PP	we
consume	VBP	consume
media	NNS	medium
in	IN	in
a	DT	a
digital	JJ	digital
age	NN	age
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
public	JJ	public
amenity	NN	amenity
for	IN	for
the	DT	the
city	NN	city
,	,	,
a	DT	a
place	NN	place
to	TO	to
gather	VB	gather
and	CC	and
read	VB	read
and	CC	and
share	NN	share
.	SENT	.
So	RB	so
how	WRB	how
is	VBZ	be
it	PP	it
possible	JJ	possible
that	IN	that
in	IN	in
the	DT	the
same	JJ	same
year	NN	year
,	,	,
in	IN	in
the	DT	the
same	JJ	same
country	NN	country
,	,	,
two	CD	two
buildings	NNS	building
,	,	,
both	CC	both
called	VBN	call
libraries	NNS	library
,	,	,
look	VBP	look
so	RB	so
completely	RB	completely
different	JJ	different
?	SENT	?
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
that	IN	that
architecture	NN	architecture
works	NNS	work
on	IN	on
the	DT	the
principle	NN	principle
of	IN	of
a	DT	a
pendulum	NN	pendulum
.	SENT	.
On	IN	on
the	DT	the
one	CD	one
side	NN	side
is	VBZ	be
innovation	NN	innovation
,	,	,
and	CC	and
architects	NNS	architect
are	VBP	be
constantly	RB	constantly
pushing	VBG	push
,	,	,
pushing	VBG	push
for	IN	for
new	JJ	new
technologies	NNS	technology
,	,	,
new	JJ	new
typologies	NNS	typology
,	,	,
new	JJ	new
solutions	NNS	solution
for	IN	for
the	DT	the
way	NN	way
that	IN	that
we	PP	we
live	VBP	live
today	NN	today
.	SENT	.
And	CC	and
we	PP	we
push	VBP	push
and	CC	and
we	PP	we
push	VBP	push
and	CC	and
we	PP	we
push	VBP	push
until	IN	until
we	PP	we
completely	RB	completely
alienate	VBP	alienate
all	DT	all
of	IN	of
you	PP	you
.	SENT	.
We	PP	we
wear	VBP	wear
all	DT	all
black	JJ	black
,	,	,
we	PP	we
get	VBP	get
very	RB	very
depressed	JJ	depressed
,	,	,
you	PP	you
think	VBP	think
we	PP	we
'	''	'
re	IN	re
adorable	JJ	adorable
,	,	,
we	PP	we
'	POS	'
re	NN	re
dead	RB	dead
inside	RB	inside
because	IN	because
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
no	DT	no
choice	NN	choice
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
go	VB	go
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
and	CC	and
reengage	NN	<unknown>
those	DT	those
symbols	NNS	symbol
that	WDT	that
we	PP	we
know	VBP	know
you	PP	you
love	VBP	love
.	SENT	.
So	RB	so
we	PP	we
do	VBP	do
that	IN	that
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
happy	JJ	happy
,	,	,
we	PP	we
feel	VBP	feel
like	IN	like
sellouts	NNS	sellout
,	,	,
so	RB	so
we	PP	we
start	VBP	start
experimenting	VBG	experiment
again	RB	again
and	CC	and
we	PP	we
push	VBP	push
the	DT	the
pendulum	NN	pendulum
back	RB	back
and	CC	and
back	RB	back
and	CC	and
forth	RB	forth
and	CC	and
back	RB	back
and	CC	and
forth	RB	forth
we	PP	we
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
for	IN	for
the	DT	the
last	JJ	last
300	CD	@card@
years	NNS	year
,	,	,
and	CC	and
certainly	RB	certainly
for	IN	for
the	DT	the
last	JJ	last
30	CD	@card@
years	NNS	year
.	SENT	.
Okay	RB	okay
,	,	,
30	CD	@card@
years	NNS	year
ago	RB	ago
we	PP	we
were	VBD	be
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
'	''	'
70s	NNS	<unknown>
.	SENT	.
Architects	NNS	architect
had	VBD	have
been	VBN	be
busy	JJ	busy
experimenting	VBG	experiment
with	IN	with
something	NN	something
called	VBD	call
brutalism	NN	brutalism
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
concrete	NN	concrete
.	SENT	.
You	PP	you
can	MD	can
guess	VB	guess
this	DT	this
.	SENT	.
Small	JJ	small
windows	NNS	window
,	,	,
dehumanizing	VBG	dehumanize
scale	NN	scale
.	SENT	.
This	DT	this
is	VBZ	be
really	RB	really
tough	JJ	tough
stuff	NN	stuff
.	SENT	.
So	RB	so
as	IN	as
we	PP	we
get	VBP	get
closer	RBR	closer
to	TO	to
the	DT	the
'	''	'
80s	JJ	<unknown>
,	,	,
we	PP	we
start	VBP	start
to	TO	to
reengage	VB	reengage
those	DT	those
symbols	NNS	symbol
.	SENT	.
We	PP	we
push	VBP	push
the	DT	the
pendulum	NN	pendulum
back	RB	back
into	IN	into
the	DT	the
other	JJ	other
direction	NN	direction
.	SENT	.
We	PP	we
take	VBP	take
these	DT	these
forms	NNS	form
that	WDT	that
we	PP	we
know	VBP	know
you	PP	you
love	VBP	love
and	CC	and
we	PP	we
update	VBP	update
them	PP	them
.	SENT	.
We	PP	we
add	VBP	add
neon	NN	neon
and	CC	and
we	PP	we
add	VBP	add
pastels	NNS	pastel
and	CC	and
we	PP	we
use	VBP	use
new	JJ	new
materials	NNS	material
.	SENT	.
And	CC	and
you	PP	you
love	VBP	love
it	PP	it
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
'	''	'
t	NN	t
give	VB	give
you	PP	you
enough	RB	enough
of	IN	of
it	PP	it
.	SENT	.
We	PP	we
take	VBP	take
Chippendale	NN	Chippendale
armoires	NNS	armoire
and	CC	and
we	PP	we
turned	VBD	turn
those	DT	those
into	IN	into
skyscrapers	NNS	skyscraper
,	,	,
and	CC	and
skyscrapers	NNS	skyscraper
can	MD	can
be	VB	be
medieval	JJ	medieval
castles	NNS	castle
made	VBN	make
out	RP	out
of	IN	of
glass	NN	glass
.	SENT	.
Forms	NNS	form
got	VBD	get
big	JJ	big
,	,	,
forms	NNS	form
got	VBD	get
bold	JJ	bold
and	CC	and
colorful	JJ	colorful
.	SENT	.
Dwarves	NNS	dwarve
became	VBD	become
columns	NNS	column
.	SENT	.
Swans	NNS	swan
grew	VBD	grow
to	TO	to
the	DT	the
size	NN	size
of	IN	of
buildings	NNS	building
.	SENT	.
It	PP	it
was	VBD	be
crazy	JJ	crazy
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	JJ	<unknown>
the	NP	the
'	POS	'
80s	JJ	<unknown>
,	,	,
it	PP	it
'	POS	'
s	NN	S
cool	NN	cool
.	SENT	.
We	PP	we
'	''	'
re	IN	re
all	DT	all
hanging	VBG	hang
out	RP	out
in	IN	in
malls	NNS	mall
and	CC	and
we	PP	we
'	POS	'
re	NN	re
all	RB	all
moving	VBG	move
to	TO	to
the	DT	the
suburbs	NNS	suburb
,	,	,
and	CC	and
out	RB	out
there	RB	there
,	,	,
out	RB	out
in	IN	in
the	DT	the
suburbs	NNS	suburb
,	,	,
we	PP	we
can	MD	can
create	VB	create
our	PP$	our
own	JJ	own
architectural	JJ	architectural
fantasies	NNS	fantasy
.	SENT	.
And	CC	and
those	DT	those
fantasies	NNS	fantasy
,	,	,
they	PP	they
can	MD	can
be	VB	be
Mediterranean	JJ	Mediterranean
or	CC	or
French	JJ	French
or	CC	or
Italian	JJ	Italian
.	SENT	.
Possibly	RB	possibly
with	IN	with
endless	JJ	endless
breadsticks	NNS	breadstick
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
thing	NN	thing
about	IN	about
postmodernism	NN	postmodernism
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
thing	NN	thing
about	IN	about
symbols	NNS	symbol
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
easy	RB	easy
,	,	,
they	PP	they
'	POS	'
re	NN	re
cheap	NN	cheap
,	,	,
because	IN	because
instead	RB	instead
of	IN	of
making	VBG	make
places	NNS	place
,	,	,
we	PP	we
'	POS	'
re	NN	re
making	VBG	make
memories	NNS	memory
of	IN	of
places	NNS	place
.	SENT	.
Because	IN	because
I	PP	I
know	VBP	know
,	,	,
and	CC	and
I	PP	I
know	VBP	know
all	DT	all
of	IN	of
you	PP	you
know	VBP	know
,	,	,
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
Tuscany	NP	Tuscany
.	SENT	.
This	DT	this
is	VBZ	be
Ohio	NP	Ohio
.	SENT	.
So	IN	so
architects	NNS	architect
get	VBP	get
frustrated	VBN	frustrate
,	,	,
and	CC	and
we	PP	we
start	VBP	start
pushing	VBG	push
the	DT	the
pendulum	NN	pendulum
back	RB	back
into	IN	into
the	DT	the
other	JJ	other
direction	NN	direction
.	SENT	.
In	IN	in
the	DT	the
late	JJ	late
'	POS	'
80s	JJ	<unknown>
and	CC	and
early	JJ	early
'	''	'
90s	NNS	<unknown>
,	,	,
we	PP	we
start	VBP	start
experimenting	VBG	experiment
with	IN	with
something	NN	something
called	VBD	call
deconstructivism	NN	deconstructivism
.	SENT	.
We	PP	we
throw	VBP	throw
out	RP	out
historical	JJ	historical
symbols	NNS	symbol
,	,	,
we	PP	we
rely	VBP	rely
on	IN	on
new	JJ	new
,	,	,
computer-aided	JJ	computer-aided
design	NN	design
techniques	NNS	technique
,	,	,
and	CC	and
we	PP	we
come	VBP	come
up	RP	up
with	IN	with
new	JJ	new
compositions	NNS	composition
,	,	,
forms	NNS	form
crashing	VBG	crash
into	IN	into
forms	NNS	form
.	SENT	.
This	DT	this
is	VBZ	be
academic	JJ	academic
and	CC	and
heady	JJ	heady
stuff	NN	stuff
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
super	JJ	super
unpopular	JJ	unpopular
,	,	,
we	PP	we
totally	RB	totally
alienate	VB	alienate
you	PP	you
.	SENT	.
Ordinarily	RB	ordinarily
,	,	,
the	DT	the
pendulum	NN	pendulum
would	MD	would
just	RB	just
swing	VB	swing
back	RB	back
into	IN	into
the	DT	the
other	JJ	other
direction	NN	direction
.	SENT	.
And	CC	and
then	RB	then
,	,	,
something	NN	something
amazing	JJ	amazing
happened	VBD	happen
.	SENT	.
In	IN	in
1997	CD	@card@
,	,	,
this	DT	this
building	NN	building
opened	VBD	open
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
Guggenheim	NP	Guggenheim
Bilbao	NP	Bilbao
,	,	,
by	IN	by
Frank	NP	Frank
Gehry	NP	Gehry
.	SENT	.
And	CC	and
this	DT	this
building	NN	building
fundamentally	RB	fundamentally
changes	VBZ	change
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
relationship	NN	relationship
to	TO	to
architecture	NN	architecture
.	SENT	.
Paul	NP	Paul
Goldberger	NP	Goldberger
said	VBD	say
that	IN	that
Bilbao	NP	Bilbao
was	VBD	be
one	CD	one
of	IN	of
those	DT	those
rare	JJ	rare
moments	NNS	moment
when	WRB	when
critics	NNS	critic
,	,	,
academics	NNS	academic
,	,	,
and	CC	and
the	DT	the
general	JJ	general
public	NN	public
were	VBD	be
completely	RB	completely
united	VBN	unite
around	IN	around
a	DT	a
building	NN	building
.	SENT	.
The	DT	the
New	NP	New
York	NP	York
Times	NP	Times
called	VBD	call
this	DT	this
building	NN	building
a	DT	a
miracle	NN	miracle
.	SENT	.
Tourism	NN	tourism
in	IN	in
Bilbao	NP	Bilbao
increased	VBD	increase
2	CD	@card@
,	,	,
500	CD	@card@
percent	NN	percent
after	IN	after
this	DT	this
building	NN	building
was	VBD	be
completed	VBN	complete
.	SENT	.
So	RB	so
all	RB	all
of	IN	of
a	DT	a
sudden	JJ	sudden
,	,	,
everybody	NN	everybody
wants	VBZ	want
one	CD	one
of	IN	of
these	DT	these
buildings	NNS	building
:	:	:
L	NP	L
.	SENT	.
A	DT	a
.	SENT	.
,	,	,
Seattle	NP	Seattle
,	,	,
Chicago	NP	Chicago
,	,	,
New	NP	New
York	NP	York
,	,	,
Cleveland	NP	Cleveland
,	,	,
Springfield	NP	Springfield
.	SENT	.
Everybody	NN	everybody
wants	VBZ	want
one	CD	one
,	,	,
and	CC	and
Gehry	NP	Gehry
is	VBZ	be
everywhere	RB	everywhere
.	SENT	.
He	PP	he
is	VBZ	be
our	PP$	our
very	JJ	very
first	JJ	first
starchitect	NNS	<unknown>
.	SENT	.
Now	RB	now
,	,	,
how	WRB	how
is	VBZ	be
it	PP	it
possible	JJ	possible
that	IN	that
these	DT	these
forms	NNS	form
—	:	-
they	PP	they
'	POS	'
re	NN	re
wild	JJ	wild
and	CC	and
radical	JJ	radical
—	:	-
how	WRB	how
is	VBZ	be
it	PP	it
possible	JJ	possible
that	IN	that
they	PP	they
become	VBP	become
so	RB	so
ubiquitous	JJ	ubiquitous
throughout	IN	throughout
the	DT	the
world	NN	world
?	SENT	?
And	CC	and
it	PP	it
happened	VBD	happen
because	IN	because
media	NNS	medium
so	RB	so
successfully	RB	successfully
galvanized	JJ	galvanized
around	IN	around
them	PP	them
that	IN	that
they	PP	they
quickly	RB	quickly
taught	VBD	teach
us	PP	us
that	IN	that
these	DT	these
forms	NNS	form
mean	VBP	mean
culture	NN	culture
and	CC	and
tourism	NN	tourism
.	SENT	.
We	PP	we
created	VBD	create
an	DT	an
emotional	JJ	emotional
reaction	NN	reaction
to	TO	to
these	DT	these
forms	NNS	form
.	SENT	.
So	RB	so
did	VBD	do
every	DT	every
mayor	NN	mayor
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
So	IN	so
every	DT	every
mayor	NN	mayor
knew	VBD	know
that	IN	that
if	IN	if
they	PP	they
had	VBD	have
these	DT	these
forms	NNS	form
,	,	,
they	PP	they
had	VBD	have
culture	NN	culture
and	CC	and
tourism	NN	tourism
.	SENT	.
This	DT	this
phenomenon	NN	phenomenon
at	IN	at
the	DT	the
turn	NN	turn
of	IN	of
the	DT	the
new	JJ	new
millennium	NN	millennium
happened	VBD	happen
to	TO	to
a	DT	a
few	JJ	few
other	JJ	other
starchitects	NNS	starchitect
.	SENT	.
It	PP	it
happened	VBD	happen
to	TO	to
Zaha	NP	<unknown>
and	CC	and
it	PP	it
happened	VBD	happen
to	TO	to
Libeskind	NP	Libeskind
,	,	,
and	CC	and
what	WP	what
happened	VBD	happen
to	TO	to
these	DT	these
elite	JJ	elite
few	JJ	few
architects	NNS	architect
at	IN	at
the	DT	the
turn	NN	turn
of	IN	of
the	DT	the
new	JJ	new
millennium	NN	millennium
could	MD	could
actually	RB	actually
start	VB	start
to	TO	to
happen	VB	happen
to	TO	to
the	DT	the
entire	JJ	entire
field	NN	field
of	IN	of
architecture	NN	architecture
,	,	,
as	IN	as
digital	JJ	digital
media	NNS	medium
starts	VBP	starts
to	TO	to
increase	VB	increase
the	DT	the
speed	NN	speed
with	IN	with
which	WDT	which
we	PP	we
consume	VBP	consume
information	NN	information
.	SENT	.
Because	IN	because
think	VB	think
about	RB	about
how	WRB	how
you	PP	you
consume	VBP	consume
architecture	NN	architecture
.	SENT	.
A	DT	a
thousand	CD	thousand
years	NNS	year
ago	RB	ago
,	,	,
you	PP	you
would	MD	would
have	VB	have
had	VBN	have
to	TO	to
have	VB	have
walked	VBN	walk
to	TO	to
the	DT	the
village	NN	village
next	JJ	next
door	NN	door
to	TO	to
see	VB	see
a	DT	a
building	NN	building
.	SENT	.
Transportation	NP	Transportation
speeds	VBZ	speed
up	RP	up
:	:	:
You	PP	you
can	MD	can
take	VB	take
a	DT	a
boat	NN	boat
,	,	,
you	PP	you
can	MD	can
take	VB	take
a	DT	a
plane	NN	plane
,	,	,
you	PP	you
can	MD	can
be	VB	be
a	DT	a
tourist	NN	tourist
.	SENT	.
Technology	NP	Technology
speeds	VBZ	speed
up	RP	up
:	:	:
You	PP	you
can	MD	can
see	VB	see
it	PP	it
in	IN	in
a	DT	a
newspaper	NN	newspaper
,	,	,
on	IN	on
TV	NN	TV
,	,	,
until	IN	until
finally	RB	finally
,	,	,
we	PP	we
are	VBP	be
all	DT	all
architectural	JJ	architectural
photographers	NNS	photographer
,	,	,
and	CC	and
the	DT	the
building	NN	building
has	VBZ	have
become	VBN	become
disembodied	JJ	disembodied
from	IN	from
the	DT	the
site	NN	site
.	SENT	.
Architecture	NN	architecture
is	VBZ	be
everywhere	RB	everywhere
now	RB	now
,	,	,
and	CC	and
that	DT	that
means	VBZ	mean
that	IN	that
the	DT	the
speed	NN	speed
of	IN	of
communication	NN	communication
has	VBZ	have
finally	RB	finally
caught	VBN	catch
up	RP	up
to	TO	to
the	DT	the
speed	NN	speed
of	IN	of
architecture	NN	architecture
.	SENT	.
Because	IN	because
architecture	NN	architecture
actually	RB	actually
moves	VBZ	move
quite	RB	quite
quickly	RB	quickly
